[0, 2511]	[0, 2354]
[415467, 416077]	[415361, 416097]
[416403, 418397]	[416368, 418515]
[417210, 420552]	[417172, 420744]
[417696, 419608]	[417693, 419750]
[418090, 418945]	[418088, 418994]
[418712, 419529]	[418712, 419605]
[418824, 425278]	[418805, 425553]
[419007, 420193]	[418985, 420294]
[419149, 420692]	[419101, 420816]
[420073, 423655]	[420058, 423865]
[420823, 423852]	[420823, 424009]
[422007, 425268]	[422006, 425358]
[422312, 424372]	[422301, 424446]
[422997, 424382]	[422997, 424448]
[423110, 425593]	[423092, 425694]
[423256, 424542]	[423241, 424554]
[423828, 425539]	[423828, 425617]
[425547, 428266]	[425541, 428428]
[425945, 427859]	[425927, 428006]
[426032, 432488]	[425996, 432707]
[426074, 429673]	[426069, 429818]
[426590, 431417]	[426561, 431684]
[427152, 430376]	[427147, 430525]
[428632, 430482]	[428632, 430590]
[428735, 430921]	[428727, 431016]
[430113, 430769]	[430085, 430803]
[430216, 434148]	[430211, 434338]
